PG Count,GSM,Binding ,Paper,Spine
618,55,paperback,crème,34.59
619,55,paperback,crème,34.645
620,55,paperback,crème,34.7
621,55,paperback,crème,34.755
622,55,paperback,crème,34.81
623,55,paperback,crème,34.865
624,55,paperback,crème,34.92
625,55,paperback,crème,34.975
626,55,paperback,crème,35.03
627,55,paperback,crème,35.085
628,55,paperback,crème,35.14
629,55,paperback,crème,35.195
630,55,paperback,crème,35.25
631,55,paperback,crème,35.305
632,55,paperback,crème,35.36
633,55,paperback,crème,35.415
634,55,paperback,crème,35.47
635,55,paperback,crème,35.525
636,55,paperback,crème,35.58
637,55,paperback,crème,35.635
638,55,paperback,crème,35.69
639,55,paperback,crème,35.745
640,55,paperback,crème,35.8
641,55,paperback,crème,35.855
642,55,paperback,crème,35.91
643,55,paperback,crème,35.965
644,55,paperback,crème,36.02
645,55,paperback,crème,36.075
646,55,paperback,crème,36.13
647,55,paperback,crème,36.185
648,55,paperback,crème,36.24
649,55,paperback,crème,36.295
650,55,paperback,crème,36.35
651,55,paperback,crème,36.405
652,55,paperback,crème,36.46
653,55,paperback,crème,36.515
654,55,paperback,crème,36.57
655,55,paperback,crème,36.625
656,55,paperback,crème,36.68
657,55,paperback,crème,36.735
658,55,paperback,crème,36.79
659,55,paperback,crème,36.845
660,55,paperback,crème,36.9
661,55,paperback,crème,36.955
662,55,paperback,crème,37.01
663,55,paperback,crème,37.065
664,55,paperback,crème,37.12
665,55,paperback,crème,37.175
666,55,paperback,crème,37.23
667,55,paperback,crème,37.285
668,55,paperback,crème,37.34
669,55,paperback,crème,37.395
670,55,paperback,crème,37.45
671,55,paperback,crème,37.505
672,55,paperback,crème,37.56
673,55,paperback,crème,37.615
674,55,paperback,crème,37.67
675,55,paperback,crème,37.725
676,55,paperback,crème,37.78
677,55,paperback,crème,37.835
678,55,paperback,crème,37.89
679,55,paperback,crème,37.945
680,55,paperback,crème,38
681,55,paperback,crème,38.055
682,55,paperback,crème,38.11
683,55,paperback,crème,38.165
684,55,paperback,crème,38.22
685,55,paperback,crème,38.275
686,55,paperback,crème,38.33
687,55,paperback,crème,38.385
688,55,paperback,crème,38.44
689,55,paperback,crème,38.495
690,55,paperback,crème,38.55
691,55,paperback,crème,38.605
692,55,paperback,crème,38.66
693,55,paperback,crème,38.715
694,55,paperback,crème,38.77
695,55,paperback,crème,38.825
696,55,paperback,crème,38.88
697,55,paperback,crème,38.935
698,55,paperback,crème,38.99
699,55,paperback,crème,39.045
700,55,paperback,crème,39.1
701,55,paperback,crème,39.155
702,55,paperback,crème,39.21
703,55,paperback,crème,39.265
704,55,paperback,crème,39.32
705,55,paperback,crème,39.375
706,55,paperback,crème,39.43
707,55,paperback,crème,39.485
708,55,paperback,crème,39.54
709,55,paperback,crème,39.595
710,55,paperback,crème,39.65
711,55,paperback,crème,39.705
712,55,paperback,crème,39.76
713,55,paperback,crème,39.815
714,55,paperback,crème,39.87
715,55,paperback,crème,39.925
716,55,paperback,crème,39.98
717,55,paperback,crème,40.035
718,55,paperback,crème,40.09
719,55,paperback,crème,40.145
720,55,paperback,crème,40.2
721,55,paperback,crème,40.255
722,55,paperback,crème,40.31
723,55,paperback,crème,40.365
724,55,paperback,crème,40.42
725,55,paperback,crème,40.475
726,55,paperback,crème,40.53
727,55,paperback,crème,40.585
728,55,paperback,crème,40.64
729,55,paperback,crème,40.695
730,55,paperback,crème,40.75
731,55,paperback,crème,40.805
732,55,paperback,crème,40.86
